,"dateUpdated","timeUpdated","brand","categories","colors","name","isSale","offer"
"AWo1dUAPM263mwCq6N-B","2019-04-19","2019-04-19T10:26:04Z","Softwalk","Womens Shoes,Clothing,All Womens Shoes,Shoes","White","Softwalk Tilton N/S Round Toe Leather Loafer",,"Online only"
"AWo1Ms1sJbEilcB6MkdE","2019-04-19","2019-04-19T10:01:26Z","Coach","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Suede","Coach Womens Moto Open Toe Ankle Fashion Boots",,"Online only: 35% off"
"AWo1IKDTAGTnQPR7rP-7","2019-04-19","2019-04-19T09:22:11Z","UGG","Womens Shoes,Clothing,All Womens Shoes,Shoes","Chestnut","1005372 - Classic Short Leather 11 / Chestnut",,"Online only"
"AWo1IrzhJbEilcB6MjHK","2019-04-19","2019-04-19T09:22:09Z","NATURE BREEZE","Clothing,Shoes,Womens Shoes,All Womens Shoes","TAN","NATURE BREEZE FROST-03 Women's Lace Up Quilted Mid Calf Winter Snow Boots",,"Online only"
"AWo0_dBBAGTnQPR7rKMN","2019-04-19","2019-04-19T09:22:09Z","City Classified","Clothing,Shoes,Womens Shoes,All Womens Shoes","Olive","City Classified Women's Open Toe Faux Suede Slingback Chunky Block Mid Heel Boot",,"Online only"
"AWo1QdJLAGTnQPR7rS3n","2019-04-19","2019-04-19T09:22:06Z","SOREL","Clothing,Shoes,Womens Shoes,All Womens Shoes","Pewter/Black","SOREL Women's Winter Carnival Waterproof Winter Boots (Black/Stone, 7.5)",,"Online only"
"AWo1EMOdAGTnQPR7rL2K","2019-04-19","2019-04-19T09:22:02Z","Style Co.","Clothing,Shoes,Womens Shoes,All Womens Shoes","Grey","Womens Ciley Leather Closed Toe Ankle Cold Weather Boots",,"Online only"
"AWo1PakBJbEilcB6MlVI","2019-04-19","2019-04-19T09:21:49Z","Sperry Top -Sider","Womens Shoes,Clothing,All Womens Shoes,Shoes","Navy/Brown","Sperry Top -Sider Syren Gulf Duck Toe Boot - Navy/Brown - Womens - 9.5",,"Online only"
"AWo0_JqFAGTnQPR7rKBE","2019-04-19","2019-04-19T09:21:48Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Nude/Gold Soft Patent Leather/Mirror Metallic","Women's Trotters Kelsey Pump",,"Online only"
"AWo07v5DAGTnQPR7rIQ3","2019-04-19","2019-04-19T09:21:27Z","Ugg","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Ugg Girl's Bailey Button K Black Mid-Calf Wool Snow Boot - 4M",,"Online only"
"AWo0610W0U_gzG0he6lT","2019-04-19","2019-04-19T09:20:12Z","Spring Step","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Leather","Women's Spring Step Asimona Ankle Strap Sandal",,"Online only"
"AWo1RPi0AGTnQPR7rS6B","2019-04-19","2019-04-19T09:20:10Z","Spring Step","Clothing,Shoes,Womens Shoes,All Womens Shoes","Silver","Women's All About Bling Wedge Sandals - Leather Uppers - 2.5 Heels",,"Online only"
"AWo0-cCD0U_gzG0he8Qn","2019-04-19","2019-04-19T09:06:52Z","Faded Glory","Clothing,Shoes,Womens Shoes,All Womens Shoes","Brown","Womens Faded Glory Shandle",,"Was 12.88"
"AWo1RCWEJbEilcB6MlpC","2019-04-19","2019-04-19T09:06:02Z","Dolce Vita","Womens Shoes,Clothing,All Womens Shoes,Shoes","Rose Gold Mesh","Dolce Vita Womens Katlee Open Toe Casual Slide Sandals",,"Online only"
"AWo1MnkWJbEilcB6Mka-","2019-04-19","2019-04-19T09:06:02Z","Dolce Vita","Womens Shoes,Clothing,All Womens Shoes,Shoes","Silver Mesh","Dolce Vita Womens Katlee Open Toe Casual Slide Sandals",,"Online only: 41% off"
"AWo08NLKAGTnQPR7rIcn","2019-04-19","2019-04-19T09:05:58Z","SummitFashions","Clothing,Shoes,Womens Shoes,All Womens Shoes","NeonWhite","7 Inch Sexy Clubbing Shoes Neon Platform Slide UV Reactive Black Light",,"Online only: 19% off"
"AWo07EPnM263mwCq57fC","2019-04-19","2019-04-19T09:05:56Z","Dolce Vita","Womens Shoes,Clothing,All Womens Shoes,Shoes","Sky Blue Palm Print","Dolce Vita Women's Halo Heeled Sandal",,"Online only"
"AWo1MtgFJbEilcB6Mkdi","2019-04-19","2019-04-19T09:05:53Z","Dolce Vita","Womens Shoes,Clothing,All Womens Shoes,Shoes","Off White Leather","Dolce Vita Women's Delana Slide Sandal",,"Online only"
"AWo074WeM263mwCq572j","2019-04-19","2019-04-19T09:05:52Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Stretch Pat and Black","Adore-3000, 6 1/2'' Plain Stretch Thigh Boot",,"Online only"
"AWo1APU5M263mwCq5-MY","2019-04-19","2019-04-19T09:05:49Z","Dolce Vita","Clothing,Shoes,Womens Shoes,All Womens Shoes","Indigo Linen","Dolce Vita Womens Havva Open Toe Casual Slide Sandals",,"Online only"
"AWo1SVqR0U_gzG0hfFmI","2019-04-19","2019-04-19T09:05:46Z","Dolce Vita","Clothing,Shoes,Womens Shoes,All Womens Shoes","Natural Fringe","Haya Fringe Sandals",,"Online only"
"AWo1IrdvJbEilcB6MjGv","2019-04-19","2019-04-19T09:05:34Z","Dolce Vita","Clothing,Shoes,Womens Shoes,All Womens Shoes","Blush Linen","Dolce Vita Womens Jene Knot-Front Cylinder Heel Slide Sandals",,"Online only"
"AWo1Q_IE0U_gzG0hfFjD","2019-04-19","2019-04-19T09:05:33Z","Dolce Vita","Womens Shoes,Clothing,All Womens Shoes,Shoes","Titanium Leather","Dolce Vita Womens Lisa Leather Open Toe Special Occasion Platform Sandals",,"Online only: 6% off"
"AWo1DRxL0U_gzG0he-ix","2019-04-19","2019-04-19T09:05:33Z","ellie","Clothing,Shoes,Womens Shoes,All Womens Shoes","Pink","6 Inch Womens High Heel Shoes Rhinestone Bootie Platform Peep Toe Shoes",,"Online only: 21% off"
"AWo1O2gDJbEilcB6MlHo","2019-04-19","2019-04-19T09:05:28Z","Dolce Vita","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Leather","Para Buckle Slide Sandals",,"Online only: 28% off"
"AWo1RxLGJbEilcB6Mlq3","2019-04-19","2019-04-19T09:05:14Z","Fabulicious","Womens Shoes,Clothing,All Womens Shoes,Shoes","Champagne Satin","Women's Lumina 34 Pump",,"Online only"
"AWo1FR0AM263mwCq5_hk","2019-04-19","2019-04-19T09:04:49Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Clear and Fuschia Snake Print","Women's Pleaser Adore 708SP Platform Sandal",,"Online only"
"AWo1KH8xAGTnQPR7rQ9k","2019-04-19","2019-04-19T09:04:48Z","PleaserUSA","Clothing,Shoes,Womens Shoes,All Womens Shoes","Red Brushed Hologram and Clear","KISS-209BHG, 6'' Heel 1 3/4'' Platform Ankle Strap Sandal",,"Online only"
"AWo1A8k-JbEilcB6Mdnz","2019-04-19","2019-04-19T09:04:47Z","Genuine Grip Footwear","Womens Shoes,Clothing,All Womens Shoes,Shoes","White Soft Full Grain Leather","Women's Genuine Grip Footwear Slip-Resistant Slip-on Casual",,"Online only: 24% off"
"AWo1Ial8JbEilcB6Mi4w","2019-04-19","2019-04-19T09:04:47Z","PleaserUSA","Clothing,Shoes,Womens Shoes,All Womens Shoes","Red Brushed Hologram and Clear","KISS-209BHG, 6'' Heel 1 3/4'' Platform Ankle Strap Sandal",,"Online only"
"AWo07A2O0U_gzG0he6qI","2019-04-19","2019-04-19T09:04:36Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Clear/Gold Multi Glitter/Tinted Synthetic","Women's Pleaser Eclipse 608GT Ankle Strap Sandal",,"Online only"
"AWo08ON_AGTnQPR7rIdN","2019-04-19","2019-04-19T09:04:36Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Clear/Brown Multi Glitter/Tinted Synthetic","Women's Pleaser Eclipse 608GT Ankle Strap Sandal",,"Online only"
"AWo079EdAGTnQPR7rIVb","2019-04-19","2019-04-19T09:04:35Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Clear/Brown Multi Glitter/Tinted Synthetic","Women's Pleaser Eclipse 608GT Ankle Strap Sandal",,"Online only"
"AWo1DJNNAGTnQPR7rLzd","2019-04-19","2019-04-19T09:04:34Z","Pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Clear and Black Multi Glitter","FLAMINGO-808GF, 8'' Heel 4'' Glitter Filled Platform Ankle Strap Sandal",,"Online only"
"AWo0_Bh3JbEilcB6McjG","2019-04-19","2019-04-19T09:04:33Z","drew-shoe","Clothing,Shoes,Womens Shoes,All Womens Shoes","Brown Suede","women's drew krista lace up bootie",,"Online only: 11% off"
"AWo1HRwDM263mwCq6CHX","2019-04-19","2019-04-19T09:04:31Z","Pleaser Pink Label","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Faux Leather","Women's Pleaser Pink Label Teeze 42W T-Strap Platform Sandal",,"Online only"
"AWo07GFC0U_gzG0he6tD","2019-04-19","2019-04-19T09:04:30Z","Helle Comfort","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Leather","Women's Helle Comfort Tori Slide",,"Online only"
"AWo1Ea1iJbEilcB6Megr","2019-04-19","2019-04-19T09:04:26Z","Aerosoft","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Aerosoft Womens Hola",,"Online only"
"AWo1Bc5W0U_gzG0he99b","2019-04-19","2019-04-19T09:04:18Z","Qupid","Clothing,Shoes,Womens Shoes,All Womens Shoes","Camel Suede","Qupid Women's Tune-01 Almond Toe Stiletto Platform Pumps",,"Online only"
"AWo07AmXM263mwCq57dP","2019-04-19","2019-04-19T09:04:14Z","Qupid","Clothing,Shoes,Womens Shoes,All Womens Shoes","Blush Multi","Qupid Women's Beat-83 Heeled Sandal",,"Online only"
"AWo1EZK4JbEilcB6Megj","2019-04-19","2019-04-19T09:03:51Z","Wild Diva","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Black","Klara01 by Wild Diva, Espadrille Jute Wrap Flatform Flat Retro Sandal Sharktooth Eva Outsole",,"Online only"
"AWo1KUvbJbEilcB6Mjvm","2019-04-19","2019-04-19T09:03:45Z","Wild Diva","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Lycra","Felicia01 by Wild Diva, Eva Flatform Lycra Sandal - Women Slide In Slippers On Platform",,"Online only"
"AWo0_Z6M0U_gzG0he82q","2019-04-19","2019-04-19T09:03:40Z","Wild Diva","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Josie01 by Wild Diva, Espadrille Round Toe Wedge - Women Closed Round Toe Canvas Heel",,"Online only"
"AWo1BA1_M263mwCq5-mX","2019-04-19","2019-04-19T09:03:36Z","Wild Diva","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Evelyn69 by Wild Diva, Caged Fringe Zip Up Stiletto High Heel Dress Sandals",,"Online only"
"AWo1DVCu0U_gzG0he-jD","2019-04-19","2019-04-19T09:03:18Z","Wild Diva","Clothing,Shoes,Womens Shoes,All Womens Shoes","Gold Silver Metallic","Caarmela84 by Wild Diva, High Heel Stiletto Slingback Dress Sandals - Women Strappy Open Toe",,"Online only"
"AWo1QEmq0U_gzG0hfFa1","2019-04-19","2019-04-19T09:03:18Z","Soho Shoes","Clothing,Shoes,Womens Shoes,All Womens Shoes","BLACK/BLACK","Soho Shoes Pom Pom Suede Sneakers",,"Online only"
"AWo1INFjJbEilcB6Mivw","2019-04-19","2019-04-19T09:03:16Z","New Balance","Clothing,Shoes,Womens Shoes,All Womens Shoes","Lb1","New Balance Women's Wstro Lb1 Ankle-High Running Shoe - 5.5W",,"Online only: 39% off"
"AWo1Tq7VM263mwCq6HBT","2019-04-19","2019-04-19T09:03:01Z","ELLIE","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black/Silver","Ellie Shoes E-711-Coco 7 Heel Sandal 12 / Clear/Black",,"Online only"
"AWo1ItiUM263mwCq6D9V","2019-04-19","2019-04-19T09:03:00Z","ELLIE","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Glitter","Ellie Shoes E-649-Disco 6 Crossed strap textured platform 10 / Black Glitter",,"Online only"
"AWo1C5CDAGTnQPR7rLx5","2019-04-19","2019-04-19T09:02:59Z","ELLIE SHOES","Clothing,Shoes,Womens Shoes,All Womens Shoes","Silver","Women's 6'' Pointed Chrome Stiletto Sandal.",,"Online only"
"AWo1KZLKM263mwCq6ElC","2019-04-19","2019-04-19T09:02:58Z","ELLIE SHOES","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Ellie Shoes E-709-Glitter 7 Pointed Stiletto Sandal With Glitter Black / 12",,"Online only"
"AWo1I_SG0U_gzG0hfDT-","2019-04-19","2019-04-19T09:02:57Z","ELLIE","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Leather","Ellie Shoes E-601-Juliet-R 6 Heel Real Leather Sandal 11 / Black Leather",,"Online only"
"AWo08FpY0U_gzG0he7H4","2019-04-19","2019-04-19T09:02:55Z","ELLIE","Clothing,Shoes,Womens Shoes,All Womens Shoes","Red","Ellie Shoes E-652-Juliet 6 Stiletto Heel Sandal Black / 5",,"Online only"
"AWo1EaQtJbEilcB6Mego","2019-04-19","2019-04-19T09:02:53Z","Aerosoles","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Combo Faux Leather/Fabric","Women's A2 by Aerosoles Make Way Flat",,"Online only: 43% off"
"AWo1RxZpJbEilcB6Mlq9","2019-04-19","2019-04-19T09:02:30Z","Spring Step","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Leather","Women's Spring Step Sandals BLACK 35 M EU 5 M",,"Online only"
"AWo0xx6PAGTnQPR7rCg2","2019-04-19","2019-04-19T08:06:23Z","Brinley Co.","Clothing,Shoes,Womens Shoes,All Womens Shoes","Taupe","Brinley Co. Women's Faux Suede Open Toe Cut-out Wedges",,"Online only: 43% off"
"AWo0sewcJbEilcB6MUgv","2019-04-19","2019-04-19T08:05:21Z","SoftWalk","Womens Shoes,Clothing,All Womens Shoes,Shoes","White","Women's SoftWalk Meredith Clog",,"Online only"
"AWo0yksJJbEilcB6MVLo","2019-04-19","2019-04-19T08:04:19Z","New Balance","Clothing,Shoes,Womens Shoes,All Womens Shoes","Bp7","New Balance Women's Wx20 Bk6 Ankle-High Running Shoe - 7.5M",,"Online only"
"AWo0jAwL0U_gzG0he0T_","2019-04-19","2019-04-19T07:24:41Z","Fuzzy","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","FUZZY Anita Women's Wide Width Walking Shoes",,"Online only"
"AWo0gYZ6M263mwCq5z1A","2019-04-19","2019-04-19T07:20:16Z","Softwalk","Womens Shoes,Clothing,All Womens Shoes,Shoes","White","Softwalk Womens Hampshire Black Snake Flats Size 6.5",,"Online only"
"AWo0fqBtJbEilcB6MSaO","2019-04-19","2019-04-19T07:19:45Z","L'Artiste by Spring Step","Clothing,Shoes,Womens Shoes,All Womens Shoes","Plum Leather","Women's L'Artiste by Spring Step Sandee Slip-On",,"Online only"
"AWo0fVcdM263mwCq5zYv","2019-04-19","2019-04-19T07:19:45Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Dark Grey Leather","trotters women's mindy black tumbled leather boot 10 n (aa)",,"Online only"
"AWo0hLjxM263mwCq50Nd","2019-04-19","2019-04-19T07:19:44Z","Ryka","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black/Black","Women's Valee Bootie",,"Online only"
"AWo0goOsAGTnQPR7rAQ7","2019-04-19","2019-04-19T07:19:41Z","L'Artiste by Spring Step","Clothing,Shoes,Womens Shoes,All Womens Shoes","Teal Leather","Women's L'Artiste by Spring Step Laniraz Clog",,"Online only: 7% off"
"AWo0g8nxM263mwCq50G8","2019-04-19","2019-04-19T07:19:41Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Navy Soft Kid","Women's Trotters Gloria",,"Online only"
"AWo0fbt50U_gzG0heywB","2019-04-19","2019-04-19T07:19:40Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Dark Grey Leather","trotters women's mindy black tumbled leather boot 10 n (aa)",,"Online only"
"AWo0fzbWM263mwCq5zj9","2019-04-19","2019-04-19T07:19:38Z","Carlos by Carlos Santana","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","women's carlos by carlos santana talana peep toe bootie",,"Online only: 46% off"
"AWo0hhWiJbEilcB6MTS0","2019-04-19","2019-04-19T07:19:38Z","Alfani","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Suede","Alfani Womens Hazzel Leather Pointed Toe Ankle Fashion Boots",,"Online only: 63% off"
"AWo0fGSLJbEilcB6MSJ0","2019-04-19","2019-04-19T07:19:38Z","Carlos by Carlos Santana","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","women's carlos by carlos santana talana peep toe bootie",,"Online only: 62% off"
"AWo0iSsXAGTnQPR7rBDh","2019-04-19","2019-04-19T07:19:38Z","Koolaburra","Clothing,Shoes,Womens Shoes,All Womens Shoes","Cappuccino","Koolaburra Womens Double Halo Short Sheepskin Lined Ankle Boots",,"Online only"
"AWo0e_xyM263mwCq5zNV","2019-04-19","2019-04-19T07:19:37Z","Forever Link","Clothing,Shoes,Womens Shoes,All Womens Shoes","Tan Pu","Forever Link Womens Mango-31 Round Toe Military Lace Up Knit Ankle Cuff Low Heel Combat Boots",,"Online only"
"AWo0gqvf0U_gzG0hezT6","2019-04-19","2019-04-19T07:19:37Z","Cape Robbin","Clothing,Shoes,Womens Shoes,All Womens Shoes","Silver","Cape Robbin Women's Shimmer Elastic Side Block Heel Ankle Boot",,"Online only"
"AWo0mkTMJbEilcB6MUWS","2019-04-19","2019-04-19T07:19:36Z","Carlos","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Carlos By Carlos Santana Women's Axel Western Boot",,"Online only: 47% off"
"AWo0hUVI0U_gzG0hezpC","2019-04-19","2019-04-19T07:19:36Z","MICHAEL Michael Kors","Clothing,Shoes,Womens Shoes,All Womens Shoes","Plum","MICHAEL Michael Kors Womens Sabrina Leather Closed Toe Over Knee Fashion Boots",,"Online only: 69% off"
"AWo0kC5LM263mwCq51Hk","2019-04-19","2019-04-19T07:19:35Z","Carlos","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","Womens Carlos by Carlos Santana Quantum Fashion Boots, Black",,"Online only: 54% off"
"AWo0h3B80U_gzG0hez6e","2019-04-19","2019-04-19T07:19:35Z","Carlos","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","Womens Carlos by Carlos Santana Quantum Fashion Boots, Black",,"Online only: 64% off"
"AWo0exowJbEilcB6MSAr","2019-04-19","2019-04-19T07:19:34Z","Soda","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Mantis by Soda, Women Vintage Western Ankle Bootie Block Heel Perforated Hole Cut Out",,"Online only"
"AWo0fxDX0U_gzG0hey4S","2019-04-19","2019-04-19T07:19:34Z","Cape Robbin","Clothing,Shoes,Womens Shoes,All Womens Shoes","Gold","Cape Robbin ZANE Chic Cutout Block Metal Heel Velvet Ankle Bootie (8.5, Gold)",,"Online only"
"AWo0gSPGJbEilcB6MSrx","2019-04-19","2019-04-19T07:19:34Z","Carlos","Clothing,Shoes,Womens Shoes,All Womens Shoes","Malbec","Womens Carlos by Carlos Santana Quantum Fashion Boots, Black",,"Online only: 52% off"
"AWo0iYdQAGTnQPR7rBHi","2019-04-19","2019-04-19T07:19:33Z","ellie","Womens Shoes,Clothing,All Womens Shoes,Shoes","Blue","4 Inch Glitter Go Go Boots Platform Chunky Heel Sexy Glamour Boots",,"Online only: 21% off"
"AWo0f-E_M263mwCq5zpL","2019-04-19","2019-04-19T07:19:33Z","ellie","Womens Shoes,Clothing,All Womens Shoes,Shoes","Green","4 Inch Glitter Go Go Boots Platform Chunky Heel Sexy Glamour Boots",,"Online only: 21% off"
"AWo0h9PyAGTnQPR7rA7d","2019-04-19","2019-04-19T07:19:32Z","ellie","Womens Shoes,Clothing,All Womens Shoes,Shoes","Gold","4 Inch Glitter Go Go Boots Platform Chunky Heel Sexy Glamour Boots",,"Online only: 21% off"
"AWo0mhVd0U_gzG0he0vh","2019-04-19","2019-04-19T07:19:32Z","ellie","Womens Shoes,Clothing,All Womens Shoes,Shoes","Red","4 Inch Glitter Go Go Boots Platform Chunky Heel Sexy Glamour Boots",,"Online only: 21% off"
"AWo0kat2AGTnQPR7rBgG","2019-04-19","2019-04-19T07:19:31Z","BUSSOLA","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Bussola Womens Josie Open Toe Casual",,"Online only: 30% off"
"AWo0iaKVAGTnQPR7rBI7","2019-04-19","2019-04-19T07:19:31Z","Wild Diva","Clothing,Shoes,Womens Shoes,All Womens Shoes","Whisky","Wild Diva Women's Faux Leather Perforated Closed Toe Side Zipper Chunky Heel Ankle Boot",,"Online only: 30% off"
"AWo0hMsc0U_gzG0hezkP","2019-04-19","2019-04-19T07:19:31Z","Bogs","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Multi","Bogs Boots Womens Pull On Charlie Melange WP Slip Resistant 72034",,"Online only"
"AWo0hUrhJbEilcB6MTM2","2019-04-19","2019-04-19T07:19:28Z","Static Footwear","Clothing,Shoes,Womens Shoes,All Womens Shoes","Brown","Forever Link Womens Justina-58 Sweater Cuff Combat Boots",,"Online only"
"AWo0hhDkAGTnQPR7rAtQ","2019-04-19","2019-04-19T07:19:27Z","Static Footwear","Clothing,Shoes,Womens Shoes,All Womens Shoes","Brown","Forever Link Womens Justina-58 Sweater Cuff Combat Boots",,"Online only"
"AWo0hfZOAGTnQPR7rAsk","2019-04-19","2019-04-19T07:19:27Z","Alfani","Womens Shoes,Clothing,All Womens Shoes,Shoes","Mulberry","Alfani Womens Viollet Suede Suede Closed Toe Ankle Fashion Boots",,"Online only: 61% off"
"AWo0hbslM263mwCq50Vx","2019-04-19","2019-04-19T07:19:27Z","Alfani","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Suede","Alfani Womens Viollet Suede Suede Closed Toe Ankle Fashion Boots",,"Online only: 61% off"
"AWo0h9BSAGTnQPR7rA7U","2019-04-19","2019-04-19T07:19:27Z","Alfani","Clothing,Shoes,Womens Shoes,All Womens Shoes","Mulberry","Alfani Womens Viollet Suede Suede Closed Toe Ankle Fashion Boots",,"Online only: 46% off"
"AWo0hxsH0U_gzG0hez4A","2019-04-19","2019-04-19T07:19:26Z","A2 by Aerosoles","Clothing,Shoes,Womens Shoes,All Womens Shoes","Gold Snake Print Synthetic","Women's A2 by Aerosoles Plushed Nickel Wedge Sandal",,"Online only: 37% off"
"AWo0hcS6M263mwCq50WH","2019-04-19","2019-04-19T07:19:24Z","Alfani","Clothing,Shoes,Womens Shoes,All Womens Shoes","Mulberry","Alfani Womens Viollet Suede Suede Closed Toe Ankle Fashion Boots",,"Online only: 71% off"
"AWo0fMJC0U_gzG0heyqS","2019-04-19","2019-04-19T07:19:14Z","Bogs","Clothing,Shoes,Womens Shoes,All Womens Shoes","Raisin","Bogs Women's Seattle",,"Online only"
"AWo0fVIWM263mwCq5zYn","2019-04-19","2019-04-19T07:19:14Z","Call It Spring","Clothing,Shoes,Womens Shoes,All Womens Shoes","Light Brown","Call It Spring Women's Fibocchi Ballet Flat",,"Online only"
"AWo0jBGuAGTnQPR7rBUQ","2019-04-19","2019-04-19T07:15:10Z","David Tate","Clothing,Shoes,Womens Shoes,All Womens Shoes","Gold Multi Leather","Women's David Tate Flex Slide",,"Online only"
"AWo0gYMgAGTnQPR7rAJQ","2019-04-19","2019-04-19T07:14:29Z","Steve Madden","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Steve Madden Women's Gleam Gold Glitter Pump - 7M",,"Online only: 81% off"
"AWo0jW3MAGTnQPR7rBWa","2019-04-19","2019-04-19T07:11:31Z","Baretraps","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Baretraps Womens Kaiser Faux Leather Strappy Flats",,"Online only"
"AWo0mQEhM263mwCq51X4","2019-04-19","2019-04-19T07:09:40Z","Keds","Clothing,Shoes,Womens Shoes,All Womens Shoes","Natural","Keds Women's Lex LTT Fashion Sneaker, Natural, 9.5 M US",,"Online only"
"AWo0gHg6JbEilcB6MSnN","2019-04-19","2019-04-19T07:09:40Z","City Classified","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black","Decade Suede Tan chestnut Brown Small Short Heel City Classified Women Side Zipper Ankle Boots Booties Cutout",,"Online only"
"AWo0mtOEAGTnQPR7rByl","2019-04-19","2019-04-19T07:09:40Z","Keds","Clothing,Shoes,Womens Shoes,All Womens Shoes","Gray","Keds Women's Double Decker Sequin Knit Fashion Sneaker,Gray,9.5 M US",,"Online only"
"AWo0m24OJbEilcB6MUZO","2019-04-19","2019-04-19T07:09:40Z","Keds","Clothing,Shoes,Womens Shoes,All Womens Shoes","Gray","Keds Women's Champion Wool Sneaker,Gray,6.5 M US",,"Online only"
"AWo0fTWl0U_gzG0heytJ","2019-04-19","2019-04-19T07:09:39Z","Keds","Clothing,Shoes,Womens Shoes,All Womens Shoes","Burgundy","Keds Women's Champion Seasonal Solid Fashion Sneaker, Burgundy, 7.5 M US",,"Online only"
"AWo0iM8DAGTnQPR7rBBO","2019-04-19","2019-04-19T07:09:39Z","Keds","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black/Black","Keds Women's Triumph Mid Fashion Sneaker, Black/Black, 6.5 M US",,"Online only"
"AWo0fBsnM263mwCq5zOV","2019-04-19","2019-04-19T07:09:38Z","City Classified","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Pu","Coin by City Classified, Women Chelsea High Stack Heel Ankle Bootie w Elastic Side Slit",,"Online only"
"AWo0iC2P0U_gzG0hez_H","2019-04-19","2019-04-19T07:09:38Z","City Classified","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black Pu","Coin by City Classified, Women Chelsea High Stack Heel Ankle Bootie w Elastic Side Slit",,"Online only"
"AWo0koLgJbEilcB6MUGz","2019-04-19","2019-04-19T07:09:38Z","City Classified","Womens Shoes,Clothing,All Womens Shoes,Shoes","Chestnut Brown","Coin by City Classified, Women Chelsea High Stack Heel Ankle Bootie w Elastic Side Slit",,"Online only"
"AWo0hMOx0U_gzG0hezkD","2019-04-19","2019-04-19T07:09:38Z","City Classified","Clothing,Shoes,Womens Shoes,All Womens Shoes","Cement","City Classified Women's Faux Suede Mid Calf Stacked Heel Boot",,"Online only"
"AWo0iW3lM263mwCq50x4","2019-04-19","2019-04-19T07:09:37Z","City Classified","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","City Classified Women's Strappy Lug Platform Stacked Block Heel Ankle Bootie",,"Online only"
"AWo0gpohAGTnQPR7rAR1","2019-04-19","2019-04-19T07:09:37Z","Easy Street","Clothing,Shoes,Womens Shoes,All Womens Shoes","Sand Super Suede","Easy Street Women's Proper Dress Pump, Sand Super Suede, 9.5 N US",,"Online only: 28% off"
"AWo0nACN0U_gzG0he0zJ","2019-04-19","2019-04-19T07:09:33Z","Soda","Clothing,Shoes,Womens Shoes,All Womens Shoes","Oat Cheetah","Soda Women's Linen Crochet Elastic Ankle Wrap Espadrille Wedge",,"Online only"
"AWo0ms0xM263mwCq51bM","2019-04-19","2019-04-19T07:09:33Z","Soda","Clothing,Shoes,Womens Shoes,All Womens Shoes","Cognac","Soda Women's Dimple Faux Suede Fringe Cowboy Stacked Heel Ankle Boot (Taupe, 7.5 B(M) US)",,"Online only"
"AWo0fNuKJbEilcB6MSOD","2019-04-19","2019-04-19T07:09:32Z","City Classified","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","City Classified Quest-S Women's Back Tie Tall Boots",,"Online only"
